stage_id,at,spawn,count,interval,col
1,5,bug,5,4,4
1,35,bug,6,3.5,9
1,70,bug,8,3,4
1,105,bug,8,2.8,9
1,140,bug,10,2.5,4
1,180,bug,10,2.2,9
1,215,bug,12,2,4
1,250,bug,12,1.8,9
2,5,bug,5,3.8,6
2,35,bug,6,3.3,4
2,70,bug,8,2.8,8
2,105,bug,9,2.5,6
2,140,bug,10,2.2,4
2,180,bug,11,2,8
2,215,bug,12,1.8,6
2,250,bug,13,1.5,4
3,5,bug,5,3.8,6
3,35,bug,7,3.2,4
3,70,bug,8,2.8,8
3,105,bug,9,2.5,6
3,140,bug,10,2.2,4
3,180,bug,11,2,8
3,215,bug,13,1.7,6
3,250,bug,14,1.5,4
4,5,bug,6,3.6,6
4,35,bug,7,3.1,4
4,70,bug,9,2.6,8
4,105,bug,10,2.3,6
4,140,bug,11,2,4
4,180,bug,12,1.8,8
4,215,bug,14,1.6,6
4,250,bug,15,1.4,4
5,5,bug,6,3.5,4
5,35,bug,8,3,8
5,70,bug,9,2.5,6
5,105,bug,10,2.2,4
5,140,bug,12,2,8
5,180,bug,13,1.8,6
5,215,bug,15,1.5,4
5,250,bug,16,1.3,8
6,5,bug,6,3.6,6
6,35,bug,7,3.1,4
6,65,null-ptr,4,4,8
6,95,bug,9,2.5,6
6,125,null-ptr,5,3.5,4
6,155,bug,11,2,8
6,190,null-ptr,6,3,6
6,220,bug,13,1.6,4
6,255,bug,15,1.4,8
7,5,bug,6,4,6
7,40,null-ptr,3,5.5,4
7,75,bug,7,3.4,8
7,115,null-ptr,4,5,6
7,155,bug,9,2.8,4
7,195,null-ptr,5,4.2,8
7,230,bug,12,2.1,6
7,270,bug,14,1.7,4
8,5,bug,6,3.8,6
8,40,bug,7,3.3,4
8,80,concat-nil,3,6.5,8
8,115,bug,8,2.9,6
8,160,null-ptr,4,5.5,4
8,200,bug,10,2.4,8
8,240,null-ptr,5,4,6
8,270,bug,14,1.5,4
